transaction time: 1.951s; total transactions: 177; average time: 1.89633
transaction time: 3.915s; total transactions: 178; average time: 1.90767
transaction time: 8.134s; total transactions: 179; average time: 1.94246
transaction time: 2.587s; total transactions: 180; average time: 1.94604
transaction time: 0.822s; total transactions: 181; average time: 1.93983
transaction time: 0.908s; total transactions: 182; average time: 1.93416
transaction time: 1.343s; total transactions: 183; average time: 1.93093
transaction time: 1.162s; total transactions: 184; average time: 1.92675
transaction time: 1.302s; total transactions: 185; average time: 1.92337
transaction time: 1.168s; total transactions: 186; average time: 1.91931
transaction time: 1.961s; total transactions: 187; average time: 1.91953
transaction time: 1.051s; total transactions: 188; average time: 1.91491
transaction time: 1.364s; total transactions: 189; average time: 1.91200
transaction time: 1.162s; total transactions: 190; average time: 1.90805
transaction time: 0.54s; total transactions: 191; average time: 1.90089
transaction time: 0.606s; total transactions: 192; average time: 1.89415
transaction time: 2.862s; total transactions: 193; average time: 1.89916
transaction time: 1.221s; total transactions: 194; average time: 1.89566
transaction time: 5.591s; total transactions: 195; average time: 1.91462
transaction time: 0.773s; total transactions: 196; average time: 1.90879
transaction time: 0.815s; total transactions: 197; average time: 1.90324
transaction time: 0.895s; total transactions: 198; average time: 1.89815
transaction time: 2.923s; total transactions: 199; average time: 1.90330
transaction time: 0.545s; total transactions: 200; average time: 1.89651
transaction time: 0.721s; total transactions: 201; average time: 1.89066
transaction time: 1.843s; total transactions: 202; average time: 1.89042
transaction time: 0.608s; total transactions: 203; average time: 1.88410
transaction time: 0.948s; total transactions: 204; average time: 1.87951
transaction time: 4.68s; total transactions: 205; average time: 1.89318
transaction time: 0.537s; total transactions: 206; average time: 1.88659
transaction time: 2.386s; total transactions: 207; average time: 1.88900
transaction time: 2.695s; total transactions: 208; average time: 1.89288
transaction time: 0.541s; total transactions: 209; average time: 1.88641
transaction time: 0.572s; total transactions: 210; average time: 1.88015
transaction time: 0.906s; total transactions: 211; average time: 1.87554
transaction time: 0.927s; total transactions: 212; average time: 1.87106
transaction time: 2.036s; total transactions: 213; average time: 1.87184
transaction time: 1.805s; total transactions: 214; average time: 1.87152
transaction time: 1.613s; total transactions: 215; average time: 1.87032
transaction time: 7.647s; total transactions: 216; average time: 1.89706
transaction time: 8.619s; total transactions: 217; average time: 1.92804
transaction time: 2.255s; total transactions: 218; average time: 1.92954
transaction time: 3.143s; total transactions: 219; average time: 1.93508
transaction time: 1.857s; total transactions: 220; average time: 1.93473
transaction time: 4.575s; total transactions: 221; average time: 1.94667
transaction time: 0.571s; total transactions: 222; average time: 1.94048
transaction time: 3.577s; total transactions: 223; average time: 1.94782
transaction time: 0.928s; total transactions: 224; average time: 1.94326
transaction time: 2.692s; total transactions: 225; average time: 1.94659
transaction time: 5.417s; total transactions: 226; average time: 1.96195
transaction time: 1.155s; total transactions: 227; average time: 1.95839
transaction time: 1.198s; total transactions: 228; average time: 1.95506
transaction time: 1.862s; total transactions: 229; average time: 1.95465
transaction time: 3.749s; total transactions: 230; average time: 1.96245
transaction time: 3.703s; total transactions: 231; average time: 1.96999
transaction time: 0.861s; total transactions: 232; average time: 1.96521
transaction time: 1.897s; total transactions: 233; average time: 1.96491
transaction time: 0.707s; total transactions: 234; average time: 1.95954
transaction time: 1.201s; total transactions: 235; average time: 1.95631
transaction time: 1.035s; total transactions: 236; average time: 1.95241
transaction time: 2.538s; total transactions: 237; average time: 1.95488
transaction time: 0.625s; total transactions: 238; average time: 1.94929
transaction time: 4.541s; total transactions: 239; average time: 1.96013
transaction time: 0.698s; total transactions: 240; average time: 1.95488
transaction time: 7.712s; total transactions: 241; average time: 1.97876
transaction time: 0.907s; total transactions: 242; average time: 1.97433
transaction time: 0.848s; total transactions: 243; average time: 1.96970
transaction time: 0.702s; total transactions: 244; average time: 1.96450
transaction time: 0.566s; total transactions: 245; average time: 1.95880
transaction time: 1.063s; total transactions: 246; average time: 1.95515
transaction time: 1.623s; total transactions: 247; average time: 1.95381
transaction time: 0.66s; total transactions: 248; average time: 1.94859
transaction time: 6.094s; total transactions: 249; average time: 1.96524
transaction time: 1.648s; total transactions: 250; average time: 1.96397
transaction time: 0.754s; total transactions: 251; average time: 1.95915
transaction time: 1.203s; total transactions: 252; average time: 1.95615
transaction time: 1.509s; total transactions: 253; average time: 1.95438
transaction time: 1.343s; total transactions: 254; average time: 1.95198
transaction time: 1.22s; total transactions: 255; average time: 1.94911
transaction time: 3.578s; total transactions: 256; average time: 1.95547
transaction time: 2.447s; total transactions: 257; average time: 1.95738
transaction time: 1.468s; total transactions: 258; average time: 1.95548
transaction time: 2.145s; total transactions: 259; average time: 1.95622
transaction time: 2.294s; total transactions: 260; average time: 1.95752
transaction time: 2.95s; total transactions: 261; average time: 1.96132
transaction time: 0.551s; total transactions: 262; average time: 1.95594
transaction time: 0.532s; total transactions: 263; average time: 1.95052
transaction time: 0.622s; total transactions: 264; average time: 1.94549
transaction time: 1.046s; total transactions: 265; average time: 1.94209
transaction time: 0.868s; total transactions: 266; average time: 1.93806
transaction time: 2.474s; total transactions: 267; average time: 1.94006
transaction time: 2.852s; total transactions: 268; average time: 1.94347
transaction time: 0.937s; total transactions: 269; average time: 1.93972
transaction time: 0.621s; total transactions: 270; average time: 1.93484
transaction time: 1.972s; total transactions: 271; average time: 1.93498
transaction time: 1.535s; total transactions: 272; average time: 1.93351
transaction time: 0.734s; total transactions: 273; average time: 1.92911
transaction time: 0.997s; total transactions: 274; average time: 1.92571
transaction time: 0.869s; total transactions: 275; average time: 1.92187
transaction time: 1.292s; total transactions: 276; average time: 1.91959
transaction time: 0.677s; total transactions: 277; average time: 1.91510
transaction time: 2.15s; total transactions: 278; average time: 1.91595
transaction time: 1.579s; total transactions: 279; average time: 1.91474
transaction time: 1.874s; total transactions: 280; average time: 1.91459
transaction time: 1.295s; total transactions: 281; average time: 1.91239
transaction time: 1.873s; total transactions: 282; average time: 1.91225
transaction time: 1.173s; total transactions: 283; average time: 1.90964
transaction time: 2.778s; total transactions: 284; average time: 1.91269
transaction time: 1.551s; total transactions: 285; average time: 1.91142
transaction time: 1.24s; total transactions: 286; average time: 1.90908
transaction time: 0.553s; total transactions: 287; average time: 1.90435
transaction time: 0.661s; total transactions: 288; average time: 1.90003
transaction time: 0.513s; total transactions: 289; average time: 1.89524
transaction time: 1.208s; total transactions: 290; average time: 1.89287
transaction time: 0.545s; total transactions: 291; average time: 1.88823
transaction time: 2.39s; total transactions: 292; average time: 1.88995
transaction time: 1.098s; total transactions: 293; average time: 1.88725
transaction time: 1.209s; total transactions: 294; average time: 1.88494
transaction time: 6.869s; total transactions: 295; average time: 1.90184
transaction time: 0.803s; total transactions: 296; average time: 1.89813
transaction time: 0.84s; total transactions: 297; average time: 1.89456
transaction time: 1.266s; total transactions: 298; average time: 1.89245
transaction time: 1.23s; total transactions: 299; average time: 1.89024
transaction time: 1.772s; total transactions: 300; average time: 1.88984
transaction time: 1.148s; total transactions: 301; average time: 1.88738
transaction time: 1.228s; total transactions: 302; average time: 1.88520
transaction time: 1.338s; total transactions: 303; average time: 1.88339
transaction time: 2.46s; total transactions: 304; average time: 1.88529
transaction time: 1.622s; total transactions: 305; average time: 1.88442
transaction time: 5.604s; total transactions: 306; average time: 1.89658
transaction time: 4.962s; total transactions: 307; average time: 1.90656
transaction time: 0.554s; total transactions: 308; average time: 1.90217
transaction time: 3.529s; total transactions: 309; average time: 1.90744
transaction time: 2.976s; total transactions: 310; average time: 1.91088
transaction time: 0.62s; total transactions: 311; average time: 1.90673
transaction time: 2.364s; total transactions: 312; average time: 1.90820
transaction time: 0.626s; total transactions: 313; average time: 1.90410
transaction time: 0.827s; total transactions: 314; average time: 1.90067
transaction time: 4.918s; total transactions: 315; average time: 1.91025
transaction time: 1.594s; total transactions: 316; average time: 1.90925
transaction time: 0.663s; total transactions: 317; average time: 1.90532
transaction time: 0.82s; total transactions: 318; average time: 1.90191
transaction time: 1.969s; total transactions: 319; average time: 1.90212
transaction time: 1.048s; total transactions: 320; average time: 1.89945
transaction time: 0.931s; total transactions: 321; average time: 1.89643
transaction time: 0.713s; total transactions: 322; average time: 1.89275
transaction time: 2.757s; total transactions: 323; average time: 1.89543
transaction time: 0.54s; total transactions: 324; average time: 1.89125
transaction time: 2.201s; total transactions: 325; average time: 1.89220
transaction time: 2.618s; total transactions: 326; average time: 1.89443
transaction time: 2.086s; total transactions: 327; average time: 1.89501
transaction time: 1.342s; total transactions: 328; average time: 1.89333
transaction time: 0.945s; total transactions: 329; average time: 1.89044
transaction time: 2.915s; total transactions: 330; average time: 1.89355
transaction time: 1.493s; total transactions: 331; average time: 1.89234
transaction time: 7.166s; total transactions: 332; average time: 1.90822
transaction time: 2.127s; total transactions: 333; average time: 1.90888
transaction time: 1.498s; total transactions: 334; average time: 1.90765
transaction time: 0.637s; total transactions: 335; average time: 1.90386
transaction time: 0.965s; total transactions: 336; average time: 1.90106
transaction time: 0.833s; total transactions: 337; average time: 1.89789
transaction time: 4.809s; total transactions: 338; average time: 1.90651
transaction time: 1.467s; total transactions: 339; average time: 1.90521
transaction time: 4.935s; total transactions: 340; average time: 1.91412
transaction time: 1.186s; total transactions: 341; average time: 1.91199
transaction time: 2.622s; total transactions: 342; average time: 1.91406
transaction time: 0.997s; total transactions: 343; average time: 1.91139
transaction time: 2.039s; total transactions: 344; average time: 1.91176
transaction time: 8.898s; total transactions: 345; average time: 1.93201
transaction time: 3.045s; total transactions: 346; average time: 1.93523
transaction time: 5.16s; total transactions: 347; average time: 1.94452
transaction time: 2.489s; total transactions: 348; average time: 1.94608
transaction time: 2.319s; total transactions: 349; average time: 1.94715
transaction time: 1.343s; total transactions: 350; average time: 1.94543
transaction time: 0.766s; total transactions: 351; average time: 1.94207
transaction time: 0.777s; total transactions: 352; average time: 1.93876
transaction time: 1.157s; total transactions: 353; average time: 1.93654
transaction time: 0.608s; total transactions: 354; average time: 1.93279
transaction time: 3.622s; total transactions: 355; average time: 1.93755
transaction time: 3.046s; total transactions: 356; average time: 1.94066
transaction time: 5.039s; total transactions: 357; average time: 1.94934
transaction time: 3.917s; total transactions: 358; average time: 1.95484
transaction time: 8.512s; total transactions: 359; average time: 1.97310
transaction time: 4.408s; total transactions: 360; average time: 1.97986
transaction time: 2.784s; total transactions: 361; average time: 1.98209
transaction time: 1.223s; total transactions: 362; average time: 1.97999
transaction time: 1.039s; total transactions: 363; average time: 1.97740
transaction time: 1.245s; total transactions: 364; average time: 1.97539
transaction time: 1.89s; total transactions: 365; average time: 1.97516
transaction time: 1.982s; total transactions: 366; average time: 1.97517
transaction time: 1.693s; total transactions: 367; average time: 1.97441
transaction time: 1.938s; total transactions: 368; average time: 1.97431
transaction time: 2.281s; total transactions: 369; average time: 1.97514
transaction time: 1.423s; total transactions: 370; average time: 1.97365
transaction time: 0.958s; total transactions: 371; average time: 1.97091
transaction time: 2.735s; total transactions: 372; average time: 1.97296
transaction time: 0.534s; total transactions: 373; average time: 1.96910
transaction time: 1.299s; total transactions: 374; average time: 1.96731
transaction time: 1.621s; total transactions: 375; average time: 1.96639
transaction time: 3.027s; total transactions: 376; average time: 1.96921
